"","city","link","lat","long","city_id","city_size","county"
"261","Rostock","https://www.flixbus.de/fernbus/rostock",54.114857,4.114857,139,"208.886","Mecklenburg-Vorpommern
"
"262","Rudolstadt","https://www.flixbus.de/fernbus/rudolstadt",50.718297,1.333654,294,"22.283","ThÃ¼ringen
"
"264","SaarbrÃ¼cken","https://www.flixbus.de/fernbus/saarbruecken",49.241926,9.241926,674,"180.741","Saarland
"
"265","Salzgitter","https://www.flixbus.de/fernbus/salzgitter",52.155954,2.155954,676,"104.948","Niedersachsen
"
"267","Schleswig","https://www.flixbus.de/fernbus/schleswig",54.523931,4.523931,262,"25.276","Schleswig-Holstein
"
"268","Schmallenberg","https://www.flixbus.de/fernbus/schmallenberg",51.249772,1.249772,130,"24.869","Nordrhein-Westfalen
"
"270","Schwandorf","https://www.flixbus.de/fernbus/schwandorf",12.102584,2.102584,686,"28.828","Bayern
"
"273","Schwerin","https://www.flixbus.de/fernbus/schwerin",53.634596,3.634596,690,"95.818","Mecklenburg-Vorpommern
"
"277","Siegen","https://www.flixbus.de/fernbus/siegen",50.871749,8.015708,694,"102.836","Nordrhein-Westfalen
"
"280","Sinsheim","https://www.flixbus.de/fernbus/sinsheim",49.248863,9.248863,697,"35.442","Baden-WÃ¼rttemberg
"
"282","Soltau","https://www.flixbus.de/fernbus/soltau",52.984691,2.984691,292,"21.317","Niedersachsen
"
"283","Spremberg","https://www.flixbus.de/fernbus/spremberg",51.56963,1.56963,227,"22.175","Brandenburg
"
"286","Stade","https://www.flixbus.de/fernbus/stade",53.592861,3.592861,709,"47.533","Niedersachsen
"
"290","Stralsund","https://www.flixbus.de/fernbus/stralsund",54.308535,4.308535,121,"59.421","Mecklenburg-Vorpommern
"
"291","Straubing","https://www.flixbus.de/fernbus/straubing",48.877733,8.877733,716,"47.794","Bayern
"
"292","Stuttgart","https://www.flixbus.de/fernbus/stuttgart",48.749923,8.749923,101,"634.830","Baden-WÃ¼rttemberg
"
"297","Trier","https://www.flixbus.de/fernbus/trier",49.757534,9.757534,173,"110.636","Rheinland-Pfalz
"
